metric,num_rules,accuracy
ch_support,10,0.918032786885246
ch_support,20,0.9016393442622952
ch_support,30,0.9016393442622952
ch_support,40,0.9016393442622952
ch_support,50,0.9016393442622952
ch_support,60,0.9016393442622952
ch_support,70,0.9016393442622952
ch_support,80,0.8852459016393442
ch_support,90,0.8852459016393442
ch_support,100,0.9016393442622952
coverage,10,0.7049180327868853
coverage,20,0.9016393442622952
coverage,30,0.8688524590163934
coverage,40,0.9016393442622952
coverage,50,0.9016393442622952
coverage,60,0.8688524590163934
coverage,70,0.8688524590163934
coverage,80,0.8852459016393442
coverage,90,0.8852459016393442
coverage,100,0.8852459016393442
h_support,10,0.639344262295082
h_support,20,0.6885245901639344
h_support,30,0.7868852459016393
h_support,40,0.7868852459016393
h_support,50,0.7868852459016393
h_support,60,0.819672131147541
h_support,70,0.819672131147541
h_support,80,0.8360655737704918
h_support,90,0.8688524590163934
h_support,100,0.8688524590163934
normalized_support,10,0.7049180327868853
normalized_support,20,0.9016393442622952
normalized_support,30,0.8688524590163934
normalized_support,40,0.9016393442622952
normalized_support,50,0.9016393442622952
normalized_support,60,0.8688524590163934
normalized_support,70,0.8688524590163934
normalized_support,80,0.8852459016393442
normalized_support,90,0.8852459016393442
normalized_support,100,0.8852459016393442
oh_support,10,0.918032786885246
oh_support,20,0.9016393442622952
oh_support,30,0.9016393442622952
oh_support,40,0.9016393442622952
oh_support,50,0.9016393442622952
oh_support,60,0.9016393442622952
oh_support,70,0.9016393442622952
oh_support,80,0.8852459016393442
oh_support,90,0.8852459016393442
oh_support,100,0.9016393442622952
